dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.545459,18.220783,0.000420,0.041972,2.098579,104.928926,6.283175
0.020000,4.545456,18.220783,0.000423,0.000162,-2.090487,-209.453295,6.283178
0.020000,4.545450,18.220783,0.000429,0.000324,0.008109,104.929803,6.283184
0.020000,4.549649,18.220783,0.004629,0.209978,10.482682,523.728687,0.000008
0.020000,4.556352,18.220784,0.011331,0.335122,6.257206,-211.273819,0.000020
0.020000,4.564730,18.220784,0.019709,0.418900,4.188891,-103.415773,0.000035
0.020000,4.574783,18.220784,0.029763,0.502676,4.188803,-0.004363,0.000053
0.020000,4.586512,18.220785,0.041492,0.586450,4.188698,-0.005275,0.000074
0.020000,4.599917,18.220786,0.054896,0.670221,4.188575,-0.006130,0.000098
0.020000,4.614996,18.220788,0.069976,0.753990,4.188435,-0.007011,0.000126
0.020000,4.631752,18.220790,0.086731,0.837755,4.188278,-0.007869,0.000157
0.020000,4.650182,18.220793,0.105162,0.921517,4.188102,-0.008776,0.000191
0.020000,4.670287,18.220798,0.125267,1.005276,4.187909,-0.009641,0.000229
0.020000,4.692068,18.220803,0.147048,1.089030,4.187699,-0.010493,0.000270
0.020000,4.715524,18.220810,0.170503,1.172779,4.187471,-0.011417,0.000315
0.020000,4.740654,18.220818,0.195634,1.256524,4.187226,-0.012246,0.000363
0.020000,4.767459,18.220829,0.222439,1.340263,4.186963,-0.013143,0.000416
0.020000,4.795939,18.220842,0.250919,1.423996,4.186683,-0.014040,0.000472
0.020000,4.826094,18.220857,0.281073,1.507724,4.186385,-0.014863,0.000532
0.020000,4.857923,18.220875,0.312902,1.591446,4.186069,-0.015796,0.000596
0.020000,4.891426,18.220896,0.346406,1.675160,4.185737,-0.016636,0.000664
0.020000,4.926603,18.220920,0.381583,1.758868,4.185386,-0.017525,0.000737
0.020000,4.963455,18.220949,0.418434,1.842568,4.185018,-0.018399,0.000814
0.020000,5.001980,18.220982,0.456959,1.926261,4.184632,-0.019284,0.000896
0.020000,5.042179,18.221020,0.497158,2.009946,4.184230,-0.020142,0.000983
0.020000,5.084051,18.221063,0.539031,2.093622,4.183809,-0.021039,0.001074
0.020000,5.127597,18.221112,0.582577,2.177289,4.183371,-0.021894,0.001171
0.020000,5.172816,18.221167,0.627796,2.260947,4.182915,-0.022794,0.001272
0.020000,5.219708,18.221229,0.674687,2.344596,4.182442,-0.023639,0.001380
0.020000,5.268272,18.221299,0.723252,2.428235,4.181951,-0.024561,0.001493
0.020000,5.318510,18.221377,0.773489,2.511864,4.181443,-0.025397,0.001611
0.020000,5.370419,18.221464,0.825399,2.595483,4.180917,-0.026290,0.001736
0.020000,5.424001,18.221560,0.878981,2.679090,4.180374,-0.027174,0.001867
0.020000,5.479254,18.221667,0.934235,2.762686,4.179813,-0.028031,0.002004
0.020000,5.536180,18.221785,0.991160,2.846271,4.179235,-0.028916,0.002148
0.020000,5.594776,18.221915,1.049757,2.929844,4.178639,-0.029788,0.002299
0.020000,5.655044,18.222059,1.110025,3.013404,4.178025,-0.030705,0.002457
0.020000,5.716983,18.222216,1.171964,3.096952,4.177395,-0.031509,0.002622
0.020000,5.780593,18.222388,1.235574,3.180487,4.176746,-0.032448,0.002795
0.020000,5.845873,18.222577,1.300854,3.264009,4.176080,-0.033282,0.002975
0.020000,5.912823,18.222782,1.367804,3.347517,4.175396,-0.034208,0.003164
0.020000,5.981442,18.223006,1.436425,3.431011,4.174695,-0.035034,0.003360
0.020000,6.051732,18.223249,1.506714,3.514490,4.173977,-0.035928,0.003566
0.020000,6.123690,18.223514,1.578673,3.597955,4.173240,-0.036827,0.003780
0.020000,6.197318,18.223800,1.652302,3.681405,4.172487,-0.037666,0.004003
0.020000,6.272614,18.224110,1.727598,3.764839,4.171716,-0.038576,0.004236
0.020000,6.349579,18.224445,1.804563,3.848257,4.170927,-0.039440,0.004478
0.020000,6.428211,18.224807,1.883197,3.931660,4.170121,-0.040293,0.004730
0.020000,6.508511,18.225198,1.963498,4.015046,4.169297,-0.041214,0.004993
0.020000,6.590478,18.225618,2.045466,4.098415,4.168456,-0.042053,0.005266
0.020000,6.674112,18.226071,2.129101,4.181767,4.167597,-0.042949,0.005550
0.020000,6.759413,18.226557,2.214403,4.265101,4.166720,-0.043812,0.005846
