dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.545448,17.137450,0.000420,0.041972,2.098579,104.928926,6.283175
0.020000,4.545448,17.137450,0.002099,0.125915,4.197157,104.928926,6.283178
0.020000,4.545448,17.137450,0.005456,0.209858,4.197157,0.000000,6.283184
0.020000,4.549657,17.137450,0.010493,0.293801,4.197157,0.000000,0.000008
0.020000,4.556373,17.137450,0.017208,0.377744,4.197157,-0.000000,0.000020
0.020000,4.564767,17.137450,0.025603,0.461687,4.197157,0.000000,0.000035
0.020000,4.574840,17.137451,0.035676,0.545630,4.197157,0.000000,0.000053
0.020000,4.586592,17.137452,0.047428,0.629574,4.197157,-0.000000,0.000074
0.020000,4.600023,17.137453,0.060859,0.713517,4.197157,0.000000,0.000098
0.020000,4.615133,17.137455,0.075969,0.797460,4.197157,0.000000,0.000126
0.020000,4.631922,17.137457,0.092757,0.881403,4.197157,0.000000,0.000157
0.020000,4.650389,17.137460,0.111225,0.965346,4.197157,-0.000000,0.000191
0.020000,4.670536,17.137464,0.131371,1.049289,4.197157,0.000000,0.000229
0.020000,4.692361,17.137470,0.153196,1.133232,4.197157,-0.000000,0.000270
0.020000,4.715865,17.137477,0.176700,1.217176,4.197157,0.000000,0.000315
0.020000,4.741048,17.137485,0.201883,1.301119,4.197157,-0.000000,0.000363
0.020000,4.767910,17.137496,0.228745,1.385062,4.197157,0.000000,0.000416
0.020000,4.796450,17.137508,0.257286,1.469005,4.197157,-0.000000,0.000472
0.020000,4.826670,17.137523,0.287505,1.552948,4.197157,0.000000,0.000532
0.020000,4.858568,17.137541,0.319404,1.636891,4.197157,-0.000000,0.000596
0.020000,4.892145,17.137563,0.352981,1.720834,4.197157,0.000000,0.000664
0.020000,4.927402,17.137587,0.388237,1.804778,4.197157,0.000000,0.000737
0.020000,4.964337,17.137616,0.425172,1.888721,4.197157,-0.000000,0.000814
0.020000,5.002950,17.137649,0.463786,1.972664,4.197157,0.000000,0.000896
0.020000,5.043243,17.137687,0.504079,2.056607,4.197157,-0.000000,0.000983
0.020000,5.085215,17.137730,0.546050,2.140550,4.197157,-0.000000,0.001074
0.020000,5.128865,17.137779,0.589701,2.224493,4.197157,0.000000,0.001171
0.020000,5.174194,17.137834,0.635030,2.308436,4.197157,-0.000000,0.001272
0.020000,5.221202,17.137897,0.682038,2.392380,4.197157,0.000000,0.001380
0.020000,5.269889,17.137967,0.730725,2.476323,4.197157,-0.000000,0.001493
0.020000,5.320255,17.138045,0.781091,2.560266,4.197157,0.000000,0.001611
0.020000,5.372300,17.138132,0.833136,2.644209,4.197157,0.000000,0.001736
0.020000,5.426023,17.138229,0.886859,2.728152,4.197157,-0.000000,0.001867
0.020000,5.481426,17.138336,0.942262,2.812095,4.197157,0.000000,0.002004
0.020000,5.538507,17.138454,0.999343,2.896038,4.197157,0.000000,0.002148
0.020000,5.597267,17.138585,1.058103,2.979982,4.197157,0.000000,0.002299
0.020000,5.657706,17.138729,1.118542,3.063925,4.197157,-0.000000,0.002457
0.020000,5.719824,17.138886,1.180660,3.147868,4.197157,0.000000,0.002622
0.020000,5.783620,17.139059,1.244457,3.231811,4.197157,-0.000000,0.002795
0.020000,5.849096,17.139248,1.309933,3.315754,4.197157,0.000000,0.002975
0.020000,5.916250,17.139454,1.377087,3.399697,4.197157,-0.000000,0.003164
0.020000,5.985083,17.139679,1.445921,3.483640,4.197157,0.000000,0.003360
0.020000,6.055595,17.139923,1.516433,3.567584,4.197157,-0.000000,0.003566
0.020000,6.127785,17.140188,1.588624,3.651527,4.197157,0.000000,0.003780
0.020000,6.201655,17.140475,1.662494,3.735470,4.197157,0.000000,0.004003
0.020000,6.277203,17.140787,1.738043,3.819413,4.197157,-0.000000,0.004236
0.020000,6.354430,17.141123,1.815270,3.903356,4.197157,-0.000000,0.004478
0.020000,6.433335,17.141486,1.894177,3.987299,4.197157,0.000000,0.004730
0.020000,6.513920,17.141878,1.974762,4.071242,4.197157,0.000000,0.004993
