dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.545437,16.054117,0.000420,0.041972,2.098579,104.928926,6.283175
0.020000,4.545440,16.054117,0.000423,0.000162,-2.090487,-209.453295,6.283178
0.020000,4.545447,16.054117,0.000429,0.000324,0.008109,104.929803,6.283184
0.020000,4.549666,16.054117,0.004648,0.210951,10.531370,526.163045,0.000008
0.020000,4.556394,16.054117,0.011377,0.336423,6.273599,-212.888548,0.000020
0.020000,4.564805,16.054117,0.019788,0.420532,4.205423,-103.408765,0.000035
0.020000,4.574898,16.054118,0.029880,0.504642,4.205511,0.004398,0.000053
0.020000,4.586673,16.054118,0.041655,0.588754,4.205616,0.005238,0.000074
0.020000,4.600130,16.054119,0.055113,0.672869,4.205739,0.006135,0.000098
0.020000,4.615270,16.054121,0.070253,0.756987,4.205879,0.007007,0.000126
0.020000,4.632092,16.054124,0.087075,0.841107,4.206037,0.007901,0.000157
0.020000,4.650597,16.054127,0.105579,0.925232,4.206212,0.008747,0.000191
0.020000,4.670784,16.054131,0.125767,1.009360,4.206405,0.009633,0.000229
0.020000,4.692654,16.054136,0.147636,1.093492,4.206615,0.010534,0.000270
0.020000,4.716206,16.054143,0.171189,1.177629,4.206842,0.011363,0.000315
0.020000,4.741442,16.054152,0.196424,1.261771,4.207088,0.012286,0.000363
0.020000,4.768360,16.054162,0.223343,1.345918,4.207351,0.013142,0.000416
0.020000,4.796961,16.054175,0.251944,1.430070,4.207631,0.013996,0.000472
0.020000,4.827246,16.054190,0.282229,1.514229,4.207929,0.014926,0.000532
0.020000,4.859214,16.054208,0.314197,1.598394,4.208244,0.015746,0.000596
0.020000,4.892865,16.054230,0.347848,1.682565,4.208578,0.016658,0.000664
0.020000,4.928200,16.054254,0.383183,1.766744,4.208928,0.017522,0.000737
0.020000,4.965219,16.054283,0.420201,1.850930,4.209296,0.018400,0.000814
0.020000,5.003921,16.054316,0.458904,1.935123,4.209681,0.019268,0.000896
0.020000,5.044307,16.054354,0.499290,2.019325,4.210085,0.020163,0.000983
0.020000,5.086378,16.054397,0.541361,2.103535,4.210505,0.021019,0.001074
0.020000,5.130133,16.054446,0.585116,2.187754,4.210943,0.021917,0.001171
0.020000,5.175573,16.054502,0.630556,2.271982,4.211399,0.022770,0.001272
0.020000,5.222697,16.054564,0.677680,2.356220,4.211872,0.023678,0.001380
0.020000,5.271506,16.054634,0.726490,2.440467,4.212363,0.024509,0.001493
0.020000,5.322001,16.054713,0.776984,2.524724,4.212871,0.025426,0.001611
0.020000,5.374181,16.054800,0.829164,2.608992,4.213397,0.026287,0.001736
0.020000,5.428046,16.054897,0.883029,2.693271,4.213940,0.027156,0.001867
0.020000,5.483597,16.055005,0.938581,2.777561,4.214501,0.028052,0.002004
0.020000,5.540834,16.055124,0.995818,2.861863,4.215079,0.028920,0.002148
0.020000,5.599758,16.055255,1.054741,2.946176,4.215675,0.029801,0.002299
0.020000,5.660367,16.055399,1.115351,3.030502,4.216288,0.030638,0.002457
0.020000,5.722664,16.055557,1.177648,3.114840,4.216920,0.031587,0.002622
0.020000,5.786648,16.055730,1.241632,3.199192,4.217568,0.032402,0.002795
0.020000,5.852319,16.055920,1.307303,3.283556,4.218234,0.033321,0.002975
0.020000,5.919677,16.056126,1.374662,3.367935,4.218917,0.034149,0.003164
0.020000,5.988723,16.056351,1.443708,3.452327,4.219619,0.035076,0.003360
0.020000,6.059457,16.056596,1.514443,3.536734,4.220337,0.035935,0.003566
0.020000,6.131880,16.056862,1.586866,3.621155,4.221073,0.036790,0.003780
0.020000,6.205991,16.057151,1.660978,3.705592,4.221827,0.037704,0.004003
0.020000,6.281791,16.057463,1.736779,3.790044,4.222598,0.038547,0.004236
0.020000,6.359281,16.057801,1.814269,3.874511,4.223387,0.039436,0.004478
0.020000,6.438460,16.058165,1.893449,3.958995,4.224194,0.040335,0.004730
0.020000,6.519329,16.058558,1.974319,4.043496,4.225017,0.041166,0.004993
0.020000,6.601888,16.058982,2.056879,4.128013,4.225859,0.042079,0.005266
0.020000,6.686138,16.059437,2.141130,4.212547,4.226717,0.042935,0.005550
0.020000,6.772078,16.059927,2.227072,4.297099,4.227594,0.043824,0.005846
0.020000,6.859710,16.060453,2.314705,4.381669,4.228488,0.044687,0.006153
0.020000,6.949034,16.061016,2.404031,4.466257,4.229399,0.045575,0.006471
0.020000,7.040049,16.061620,2.495048,4.550863,4.230328,0.046434,0.006803
0.020000,7.132756,16.062267,2.587758,4.635489,4.231274,0.047332,0.007146
0.020000,7.227157,16.062958,2.682160,4.720134,4.232238,0.048180,0.007503
0.020000,7.323250,16.063697,2.778256,4.804798,4.233219,0.049068,0.007873
0.020000,7.421036,16.064486,2.876046,4.889482,4.234218,0.049941,0.008256
0.020000,7.520516,16.065327,2.975530,4.974187,4.235234,0.050808,0.008654
0.020000,7.621691,16.066223,3.076708,5.058912,4.236268,0.051690,0.009066
0.020000,7.724559,16.067178,3.179581,5.143659,4.237319,0.052553,0.009493
0.020000,7.829123,16.068193,3.284150,5.228427,4.238388,0.053419,0.009935
0.020000,7.935382,16.069273,3.390414,5.313216,4.239474,0.054301,0.010393
0.020000,8.043336,16.070421,3.498374,5.398028,4.240577,0.055161,0.010867
0.020000,8.152987,16.071639,3.608032,5.482862,4.241697,0.056032,0.011357
0.020000,8.264334,16.072932,3.719386,5.567718,4.242835,0.056897,0.011865
0.020000,8.377377,16.074303,3.832438,5.652598,4.243991,0.057761,0.012389
0.020000,8.492118,16.075756,3.947188,5.737501,4.245163,0.058631,0.012931
0.020000,8.608556,16.077294,4.063637,5.822428,4.246353,0.059478,0.013491
0.020000,8.726693,16.078922,4.181784,5.907380,4.247560,0.060366,0.014070
0.020000,8.846528,16.080644,4.301631,5.992355,4.248784,0.061190,0.014668
0.020000,8.968061,16.082464,4.423178,6.077356,4.250025,0.062056,0.015286
0.020000,9.091294,16.084387,4.546426,6.162381,4.251284,0.062937,0.015923
0.020000,9.216226,16.086418,4.671375,6.247433,4.252559,0.063754,0.016581
0.020000,9.342858,16.088560,4.798025,6.332510,4.253851,0.064626,0.017260
0.020000,9.471190,16.090821,4.926377,6.417613,4.255161,0.065470,0.017961
0.020000,9.601223,16.093203,5.056432,6.502743,4.256486,0.066264,0.018683
0.020000,9.732957,16.095714,5.188190,6.587899,4.257830,0.067188,0.019428
0.020000,9.866393,16.098357,5.321652,6.673083,4.259189,0.067949,0.020195
0.020000,10.001530,16.101140,5.456818,6.758294,4.260565,0.068831,0.020986
0.020000,10.138369,16.104068,5.593688,6.843533,4.261957,0.069602,0.021801
0.020000,10.276911,16.107147,5.732264,6.928801,4.263367,0.070489,0.022640
0.020000,10.417156,16.110383,5.872546,7.014097,4.264792,0.071247,0.023505
0.020000,10.559103,16.113783,6.014535,7.099421,4.266235,0.072140,0.024394
0.020000,10.702755,16.117353,6.158230,7.184775,4.267690,0.072762,0.025310
0.020000,10.848109,16.121102,6.303633,7.270158,4.269166,0.073796,0.026253
0.020000,10.977941,16.124092,6.433499,6.493306,-38.842610,-2155.588822,0.019329
0.020000,11.117341,16.126247,6.572915,6.970802,23.874807,3135.870878,0.011646
0.020000,11.258727,16.127365,6.714307,7.069559,4.937826,-946.849052,0.004236
0.020000,11.402109,16.127457,6.857688,7.169069,4.975508,1.884088,6.280299
0.020000,11.547492,16.126537,7.003074,7.269324,5.012734,1.861293,6.273478
0.020000,11.694886,16.124621,7.150481,7.370316,5.049613,1.843938,6.266971
0.020000,11.844299,16.121732,7.299922,7.472039,5.086133,1.826020,6.260793
0.020000,11.995740,16.117892,7.451411,7.574486,5.122347,1.810693,6.254956
0.020000,12.149219,16.113132,7.604964,7.677651,5.158280,1.796645,6.249474
0.020000,12.304747,16.107483,7.760595,7.781532,5.194041,1.788069,6.244360
0.020000,12.462336,16.100982,7.918317,7.886125,5.229654,1.780641,6.239628
0.020000,12.621997,16.093670,8.078146,7.991430,5.265231,1.778864,6.235289
0.020000,12.783744,16.085592,8.240095,8.097446,5.300816,1.779264,6.231358
0.020000,12.947592,16.076798,8.404178,8.204177,5.336535,1.785915,6.227848
0.020000,13.113555,16.067342,8.570411,8.311625,5.372422,1.794351,6.224772
0.020000,13.281651,16.057283,8.738807,8.419798,5.408663,1.812053,6.222143
0.020000,13.451895,16.046686,8.909381,8.528703,5.445214,1.827574,6.219975
0.020000,13.624307,16.035619,9.082148,8.638349,5.482319,1.855220,6.218281
0.020000,13.798907,16.024158,9.257123,8.748748,5.519940,1.881069,6.217076
0.020000,13.975713,16.012382,9.434321,8.859912,5.558228,1.914416,6.216374
0.020000,14.154748,16.000378,9.613758,8.971857,5.597228,1.949978,6.216188
0.020000,14.336034,15.988238,9.795450,9.084597,5.637000,1.988604,6.216534
0.020000,14.519594,15.976059,9.979413,9.198149,5.677607,2.030353,6.217426
0.020000,14.705450,15.963947,10.165664,9.312530,5.719070,2.073160,6.218881
0.020000,14.893627,15.952013,10.354219,9.427758,5.761379,2.115424,6.220913
0.020000,15.084149,15.940375,10.545096,9.543849,5.804554,2.158755,6.223539
0.020000,15.277039,15.929160,10.738312,9.660819,5.848497,2.197137,6.226774
0.020000,15.472322,15.918501,10.933886,9.778683,5.893181,2.234194,6.230636
0.020000,15.670021,15.908539,11.131835,9.897451,5.938425,2.262234,6.235140
0.020000,15.870156,15.899424,11.332178,10.017132,5.984044,2.280931,6.240305
0.020000,16.072748,15.891313,11.534932,10.137729,6.029870,2.291304,6.246146
0.020000,16.277816,15.884374,11.740117,10.259240,6.075518,2.282388,6.252680
0.020000,16.485373,15.878782,11.947750,10.381654,6.120699,2.259069,6.259926
0.020000,16.695433,15.874722,12.157849,10.504952,6.164892,2.209654,6.267897
0.020000,16.908002,15.872387,12.370431,10.629103,6.207578,2.134317,6.276611
0.020000,17.123083,15.871980,12.585513,10.754066,6.248146,2.028390,0.002898
0.020000,17.340221,15.873707,12.802658,10.857249,5.159162,-54.449211,0.013119
0.020000,17.558060,15.877742,13.020534,10.893813,1.828171,-166.549535,0.024028
0.020000,17.775235,15.884201,13.237804,10.863530,-1.514142,-167.115661,0.035548
0.020000,17.991252,15.893180,13.454008,10.810175,-2.667744,-57.680121,0.047632
0.020000,18.206048,15.904767,13.669117,10.755444,-2.736533,-3.439448,0.060256
0.020000,18.419557,15.919046,13.883102,10.699258,-2.809333,-3.639975,0.073392
0.020000,18.631704,15.936088,14.095933,10.641538,-2.885973,-3.832021,0.087013
0.020000,18.842414,15.955954,14.307577,10.582208,-2.966533,-4.027966,0.101088
0.020000,19.051605,15.978698,14.518001,10.521187,-3.051017,-4.224235,0.115586
0.020000,19.259193,16.004359,14.727169,10.458405,-3.139134,-4.405853,0.130475
0.020000,19.465091,16.032968,14.935045,10.393797,-3.230381,-4.562330,0.145721
0.020000,19.669209,16.064542,15.141591,10.327298,-3.324958,-4.728845,0.161290
0.020000,19.827754,16.088923,15.301999,8.020433,-115.343246,-5600.914425,0.139299
0.020000,19.988322,16.109509,15.463881,8.094107,3.683692,5951.346929,0.116740
0.020000,20.153367,16.127348,15.629888,8.300330,10.311146,331.372675,0.099536
0.020000,20.322530,16.143136,15.799786,8.494916,9.729340,-29.090285,0.087474
0.020000,20.495497,16.157612,15.973358,8.678587,9.183516,-27.291214,0.080351
0.020000,20.672002,16.171546,16.150412,8.852705,8.705897,-23.880934,0.077993
0.020000,20.851822,16.185735,16.330790,9.018909,8.310226,-19.783532,0.080252
